UUID;Aktueller Name;Vorgeschlagener Name;Vorgeschlagener Typ;Status;Sicherheit;Biografie (description_de);Quelle;Quell-URL;Empfohlene Aktion;Prüf-/Bereinigungshinweis
4eed40c0-6ae5-4df3-a3eb-9e1eb3243490;Band;Spark – die klassische Band;chamber;Nicht importieren;Niedrig;;Verknüpfte Website im Datenbestand;https://www.spark-die-klassische-band.de/;Datensatz zuerst umbenennen/zusammenführen;"Der Name „Band“ ist unvollständig; die hinterlegte Website gehört zu Spark – die klassische Band. Vor einer Biografie Identität bestätigen und den Datensatz umbenennen oder mit einem bestehenden Spark-Datensatz zusammenführen."
14e0f3e7-3fcf-4d1a-a5fb-4d21df076a24;Bayerische Staatsoper;Bayerische Staatsoper;institution;Nicht importieren;Hoch;;Bayerische Staatsoper;https://www.staatsoper.de/;In Institution/Veranstalter überführen;"Die Bayerische Staatsoper ist ein Opernhaus bzw. eine Institution und kein Ensemble. Keine Ensemble-Biografie importieren; Datensatz in die passende Entitätsart verschieben."
36b3cb88-ff48-4647-ace5-ade810b5306e;Blechbl;;;Nicht importieren;Niedrig;;Datenbestand;;Identität aus Quelldatensatz rekonstruieren;„Blechbl“ ist offensichtlich abgeschnitten und ohne Website oder eindeutige Veranstaltungszuordnung nicht sicher identifizierbar. Keine Biografie erfinden.
c38cdd7c-1362-4c9d-ae2c-7706437fc009;Budapest Festival Orchestra;Budapest Festival Orchestra;orchestra;Importbereit;Hoch;Das Budapest Festival Orchestra wurde 1983 von Iván Fischer und Zoltán Kocsis gegründet. Das Orchester verbindet internationale Konzerttätigkeit mit einer ausgeprägten Experimentierfreude und entwickelt neben dem symphonischen Repertoire regelmäßig neue Konzertformate. Einen besonderen Schwerpunkt bilden die Werke Gustav Mahlers sowie die musikalische Vermittlung an ein breites Publikum. 2022 wurde das Ensemble bei den Gramophone Awards zum Orchestra of the Year gewählt.;Friends of the Budapest Festival Orchestra;https://friendsofthebudapestfestivalorchestra.org/about/;description_de per UUID aktualisieren;
02384c61-0f39-45a7-899e-11c2eea05036;Ensemble Marie-Sophie Pollak;Marie-Sophie Pollak und Ensemble;project;Nicht importieren;Niedrig;;Marie-Sophie Pollak;https://www.marie-sophie-pollak.de/home/;Besetzung/Projektname aus Veranstaltung prüfen;"Die Website beschreibt die Sängerin, aber kein dauerhaftes Ensemble dieses Namens. Der Eintrag wirkt wie eine veranstaltungsbezogene Besetzung; vor einer Biografie Besetzung und offiziellen Projektnamen klären."
55e7c347-f496-43d8-a7c9-a3695c499204;Ensemble Simileo Alpin;Simileo Alpin;early_music;Prüfung empfohlen;Mittel;Simileo Alpin ist ein in München beheimatetes Ensemble für Alte Musik. Im Zentrum stehen historische Blasinstrumente und eine kammermusikalische Besetzung mit Blockflöten, Traversflöte, Viola da gamba und Cembalo. Die Musikerinnen und Musiker widmen sich der historisch informierten Aufführungspraxis und entwickeln Programme, die barockes Repertoire in klar profilierten Klangfarben präsentieren.;Internationale Händel-Festspiele Göttingen / IN München;https://www.haendel-festspiele.de/de/service/pressebereich/pressemitteilungen-2026/goettingen-haendel-competition-teilnehmerensembles-stehen-fest/;Text redaktionell prüfen, dann description_de aktualisieren;"Keine eigenständige offizielle Website gefunden; Besetzung und Eigenschreibweise vor Import kurz bestätigen."
0b552d84-8c12-4e1e-ba6f-3e6b1600a53b;Ensemble von Florian Christl;Florian Christl & Ensemble;project;Prüfung empfohlen;Mittel;Das Ensemble von Florian Christl begleitet den Münchner Pianisten und Komponisten bei der Aufführung seiner eigenen Werke. Christls Musik verbindet eingängige Klavierlinien mit fein ausgearbeiteten Streicherarrangements und bewegt sich zwischen zeitgenössischer Klassik, Neoklassik und Filmmusikästhetik. Je nach Konzertprogramm tritt die Formation in variabler Besetzung auf und erweitert den solistischen Klavierklang um eine kammermusikalische Dimension.;Florian Christl;https://florianchristl.de/pages/about;Text redaktionell prüfen, dann description_de aktualisieren;Die Formation ist projektbezogen und hat offenbar keine dauerhaft veröffentlichte Stammbesetzung.
efc56c91-f4cb-4e47-ba1b-4924d24ca3e7;Festival Strings Lucerne;Festival Strings Lucerne;chamber_orchestra;Importbereit;Hoch;"Die Festival Strings Lucerne wurden 1956 von Rudolf Baumgartner und Wolfgang Schneiderhan gegründet. Den Kern des Kammerorchesters bilden 17 Streichersolisten und ein Cembalo; für größere Werke wird die Besetzung flexibel erweitert. Unter der künstlerischen Leitung von Daniel Dodds reicht das Repertoire vom Barock bis zur Gegenwart und schließt zahlreiche Ur- und Erstaufführungen ein. Internationale Tourneen und Aufnahmen prägen das Profil des Ensembles seit seinen Anfängen.";Lucerne Festival;https://www.lucernefestival.ch/de/programm/kuenstlerverzeichnis/festival_strings_lucerne/1975;description_de per UUID aktualisieren;
c4774756-dd06-4b79-bbb4-5971f996c9d2;Frauenvokalensemble Luminosa;Luminosa Frauenvokalensemble;choir;Importbereit;Hoch;Luminosa ist ein professionelles Frauenvokalensemble, das 2023 gegründet wurde. Sein Repertoire reicht von klassischer Chorliteratur bis zu zeitgenössischen Kompositionen und stellt die unterschiedlichen Klangfarben hoher Stimmen in den Mittelpunkt. Das Ensemble war unter anderem beim Bachfest Leipzig, bei der Internationalen A-cappella-Woche Hannover sowie mit Programmen in Berlin und Paris zu erleben. Charakteristisch sind stilistische Vielseitigkeit und eine präzise, kammermusikalische Ensemblearbeit.;Luminosa Frauenvokalensemble;https://www.luminosa.website/deutsch/%C3%BCber-uns/;"description_de aktualisieren; Dublette anschließend zusammenführen";Der separate Datensatz „Luminosa“ ist eine Dublette und sollte auf diese UUID zusammengeführt werden.
be1634e7-df06-4273-9fe3-be7a3fc8ce44;Freiburger Barockorchester;Freiburger Barockorchester;baroque_orchestra;Importbereit;Hoch;Das Freiburger Barockorchester wurde 1987 gegründet und zählt zu den prägenden Ensembles der historisch informierten Aufführungspraxis. Die Musikerinnen und Musiker arbeiten in selbstverwalteter Struktur und gestalten ihre Programme mit großer stilistischer Neugier. Das Repertoire reicht vom Barock und der Klassik bis in die Romantik und Gegenwart. Regelmäßige internationale Gastspiele, Opernproduktionen und zahlreiche Einspielungen haben dem Orchester weltweite Anerkennung verschafft.;Freiburger Barockorchester;https://barockorchester.de/;description_de per UUID aktualisieren;
