UUID;Aktueller Name;Vorgeschlagener Name;Status;Sicherheit;Biografie (biography_de);Quelle;Quell-URL;Quellentyp;Verknüpfte Events;Verknüpfte Werke;Empfohlene Aktion;Prüf-/Bereinigungshinweis
8f2c89e1-ed2b-4f7a-a60e-2a147333cb9e;Alan Fernie;Alan Fernie;Importbereit;Mittel bis hoch;Alan Fernie ist eine Persönlichkeit des Musiklebens mit Bezug zu Schottland. Zu den dokumentierten Tätigkeitsfeldern gehören Komposition, Dirigieren und Arrangement. Die verknüpften Münchner Programmdaten nennen Alan Fernie für Komposition bei „Kisoboka – Everything Is Possible“.;MusicBrainz: arranger, composer, adjudicator, conductor;https://musicbrainz.org/artist/6f328ede-6732-47b3-ab12-c5b9d0c4f4ff;MusicBrainz;1;0;biography_de per UUID aktualisieren;
ef7257f2-47d7-4378-8da3-39d2864c0451;Albert Roussel;Albert Roussel;Importbereit;Hoch;Albert Roussel (1869–1937) war eine Persönlichkeit des Kulturlebens mit Bezug zu Frankreich. Zu den dokumentierten Tätigkeitsfeldern gehören Komposition, Tanz und Choreografie, Klavier, Musikwissenschaft und Musikpädagogik. Im erfassten Konzertrepertoire ist Albert Roussel unter anderem mit „Symphonie Nr. 3“ vertreten.;Wikidata + deutsche Wikipedia;https://de.wikipedia.org/wiki/Albert_Roussel;Wikidata + deutsche Wikipedia;2;1;biography_de per UUID aktualisieren;
12a0cc81-aa7e-4d7a-89bb-dab991cd9388;Alexander Borodin;Alexander Borodin;Importbereit;Hoch;Alexander Borodin (1833–1887) war eine Persönlichkeit des Musiklebens mit Bezug zu Russisches Kaiserreich. Zu den dokumentierten Tätigkeitsfeldern gehören Komposition, Klavier, Flöte und Violoncello.;Wikidata + deutsche Wikipedia;https://de.wikipedia.org/wiki/Alexander_Porfirjewitsch_Borodin;Wikidata + deutsche Wikipedia;0;0;biography_de per UUID aktualisieren;
08a7fb42-20dc-45ee-aee4-70329708a23c;Alexander Gadjiev;Alexander Gadjiev;Importbereit;Hoch;Alexander Gadjiev (* 1994) ist eine Persönlichkeit des Musiklebens mit Bezug zu Italien. Zu den dokumentierten Tätigkeitsfeldern gehören Klavier. Die verknüpften Münchner Programmdaten nennen Alexander Gadjiev für solistische Mitwirkung bei „Alexander Gadjiev & das Staatliche Sinfonieorchester Litauen“.;Wikidata + englische Wikipedia;https://en.wikipedia.org/wiki/Alexander_Gadjiev;Wikidata + englische Wikipedia;1;0;biography_de per UUID aktualisieren;
32709f4a-fd12-46d3-8a94-23a9a6f2a985;Alexander Scriabin;Alexander Scriabin;Importbereit;Hoch;Alexander Nikolajewitsch Skrjabin (1871–1915) war ein bedeutender russischer Pianist und Komponist. Er prägte die Musikgeschichte der Jahrhundertwende mit seinem unverwechselbaren Klavier- und Orchesterwerk, das sich von spätromantischen Einflüssen zu einer radikal eigenen Harmonik und Mystik entwickelte. Sein Schaffen umfasst zahlreiche Klaviersonaten, Präludien sowie großangelegte Orchesterwerke.;Wikipedia (über die Recherchefunktion des Projekts);https://de.wikipedia.org/wiki/Alexander_Nikolajewitsch_Skrjabin;Wikipedia;1;1;biography_de per UUID aktualisieren;
74ac6fa5-7bfb-49bc-8ca2-667f6c3347a7;Alexandra Conunova;Alexandra Conunova;Importbereit;Mittel bis hoch;Alexandra Conunova (* 1988) ist eine Persönlichkeit des Musiklebens mit Bezug zu Moldau. Zu den dokumentierten Tätigkeitsfeldern gehören Violine. Die verknüpften Münchner Programmdaten nennen Alexandra Conunova für solistische Mitwirkung bei „Alexandra Conunova & die Stuttgarter Philharmoniker“.;MusicBrainz: violinist;https://musicbrainz.org/artist/bf5e349d-d6a2-4860-aa14-61f173947114;MusicBrainz;1;0;biography_de per UUID aktualisieren;
da5878ba-9d1a-44ba-b613-502ddb7dbd90;Alfred Schnittke;Alfred Schnittke;Importbereit;Hoch;Alfred Schnittke (1934–1998) war eine Persönlichkeit des Musiklebens mit Bezug zu Sowjetunion. Zu den dokumentierten Tätigkeitsfeldern gehören Komposition, Klavier und Musikpädagogik.;Wikidata + deutsche Wikipedia;https://de.wikipedia.org/wiki/Alfred_Schnittke;Wikidata + deutsche Wikipedia;0;0;biography_de per UUID aktualisieren;
910c4f53-92ba-4b2a-8087-8526c79a02ba;Alice Marie Weber;Alice Marie Weber;Importbereit;Hoch;Alice Marie Weber ist Bratschistin im Symphonieorchester des Bayerischen Rundfunks, dem sie seit 2015 angehört. Sie begann ihre Ausbildung als Jungstudentin für Violine am Richard-Strauss-Konservatorium in München und wechselte während des Studiums an der Hochschule für Musik und Theater München zur Viola. Weitere Studien führten sie zu Kim Kashkashian an das New England Conservatory in Boston. Orchestererfahrung sammelte sie unter anderem im Koninklijk Concertgebouworkest und als Solo-Bratschistin des Gustav Mahler Jugendorchesters.;Symphonieorchester des Bayerischen Rundfunks;https://www.brso.de/besetzung/alice-marie-weber/;Offizielle Orchesterwebsite;0;0;biography_de per UUID aktualisieren;
45f8588b-176a-471d-9f6e-d31f234cc59a;Amartuvshin Enkhbat;Amartuvshin Enkhbat;Importbereit;Hoch;Amartuvshin Enkhbat (* 1986) ist eine Persönlichkeit des Musiklebens mit Bezug zu Mongolei. Zu den dokumentierten Tätigkeitsfeldern gehören Gesang. Als Instrument beziehungsweise stimmlicher Schwerpunkt ist Singstimme verzeichnet.;Wikidata + englische Wikipedia;https://en.wikipedia.org/wiki/Enkhbatyn_Amart%C3%BCvshin;Wikidata + englische Wikipedia;0;0;biography_de per UUID aktualisieren;
117ed9b9-076f-4844-bc2e-2b752f0a878f;Amy Beach;Amy Beach;Importbereit;Hoch;Amy Beach (1867–1944) war eine Persönlichkeit des Musiklebens mit Bezug zu Vereinigte Staaten. Zu den dokumentierten Tätigkeitsfeldern gehören Klavier und Komposition. Die verknüpften Münchner Programmdaten nennen Amy Beach für Komposition bei „Münchner Philharmoniker: Dvořák Chopin Beach“ und „Münchner Philharmoniker: 4th Youth Concert“.;Wikidata + deutsche Wikipedia;https://de.wikipedia.org/wiki/Amy_Beach;Wikidata + deutsche Wikipedia;3;0;biography_de per UUID aktualisieren;
