UUID;Aktueller Name;Vorgeschlagener Name;Status;Sicherheit;Biografie (biography_de);Quelle;Quell-URL;Quellentyp;Verknüpfte Events;Verknüpfte Werke;Empfohlene Aktion;Prüf-/Bereinigungshinweis
abc66f24-095f-4fc4-8d7e-960acea4935f;Akinari Kitayama;Akinari Kitayama;Keine sichere Biografie;Niedrig;;;;Unzureichende Datenlage;0;0;Identität/Quelle redaktionell recherchieren;"Aus Name, Quellen und Projektverknüpfungen ließ sich keine ausreichend belastbare Biografie erzeugen; bewusst kein Text erfunden."
8f2c89e1-ed2b-4f7a-a60e-2a147333cb9e;Alan Fernie;Alan Fernie;Importbereit;Mittel bis hoch;Alan Fernie ist eine Persönlichkeit des Musiklebens mit Bezug zu Schottland. Zu den dokumentierten Tätigkeitsfeldern gehören Komposition, Dirigieren und Arrangement. Die verknüpften Münchner Programmdaten nennen Alan Fernie für Komposition bei „Kisoboka – Everything Is Possible“.;MusicBrainz: arranger, composer, adjudicator, conductor;https://musicbrainz.org/artist/6f328ede-6732-47b3-ab12-c5b9d0c4f4ff;MusicBrainz;1;0;biography_de per UUID aktualisieren;
c7754e65-8154-467a-83b1-09cf4effd39e;Alban Lenzen;Alban Lenzen;Prüfung empfohlen;Mittel bis hoch;Alban Lenzen ist eine Persönlichkeit des Musiklebens. Zu den dokumentierten Tätigkeitsfeldern gehören Bariton.;MusicBrainz: baritone;https://musicbrainz.org/artist/481051d4-5c18-4a61-b225-1d355b6521ae;MusicBrainz;0;0;Identität/Text prüfen, dann biography_de aktualisieren;"Kurze strukturierte Biografie; vor Import redaktionell auf Vollständigkeit prüfen."
ef7257f2-47d7-4378-8da3-39d2864c0451;Albert Roussel;Albert Roussel;Importbereit;Hoch;Albert Roussel (1869–1937) war eine Persönlichkeit des Kulturlebens mit Bezug zu Frankreich. Zu den dokumentierten Tätigkeitsfeldern gehören Komposition, Tanz und Choreografie, Klavier, Musikwissenschaft und Musikpädagogik. Im erfassten Konzertrepertoire ist Albert Roussel unter anderem mit „Symphonie Nr. 3“ vertreten.;Wikidata + deutsche Wikipedia;https://de.wikipedia.org/wiki/Albert_Roussel;Wikidata + deutsche Wikipedia;2;1;biography_de per UUID aktualisieren;
12a0cc81-aa7e-4d7a-89bb-dab991cd9388;Alexander Borodin;Alexander Borodin;Importbereit;Hoch;Alexander Borodin (1833–1887) war eine Persönlichkeit des Musiklebens mit Bezug zu Russisches Kaiserreich. Zu den dokumentierten Tätigkeitsfeldern gehören Komposition, Klavier, Flöte und Violoncello.;Wikidata + deutsche Wikipedia;https://de.wikipedia.org/wiki/Alexander_Porfirjewitsch_Borodin;Wikidata + deutsche Wikipedia;0;0;biography_de per UUID aktualisieren;
08a7fb42-20dc-45ee-aee4-70329708a23c;Alexander Gadjiev;Alexander Gadjiev;Importbereit;Hoch;Alexander Gadjiev (* 1994) ist eine Persönlichkeit des Musiklebens mit Bezug zu Italien. Zu den dokumentierten Tätigkeitsfeldern gehören Klavier. Die verknüpften Münchner Programmdaten nennen Alexander Gadjiev für solistische Mitwirkung bei „Alexander Gadjiev & das Staatliche Sinfonieorchester Litauen“.;Wikidata + englische Wikipedia;https://en.wikipedia.org/wiki/Alexander_Gadjiev;Wikidata + englische Wikipedia;1;0;biography_de per UUID aktualisieren;
32709f4a-fd12-46d3-8a94-23a9a6f2a985;Alexander Scriabin;Alexander Scriabin;Importbereit;Hoch;Alexander Nikolajewitsch Skrjabin (1871–1915) war ein bedeutender russischer Pianist und Komponist. Er prägte die Musikgeschichte der Jahrhundertwende mit seinem unverwechselbaren Klavier- und Orchesterwerk, das sich von spätromantischen Einflüssen zu einer radikal eigenen Harmonik und Mystik entwickelte. Sein Schaffen umfasst zahlreiche Klaviersonaten, Präludien sowie großangelegte Orchesterwerke.;Wikipedia (über die Recherchefunktion des Projekts);https://de.wikipedia.org/wiki/Alexander_Nikolajewitsch_Skrjabin;Wikipedia;1;1;biography_de per UUID aktualisieren;
74ac6fa5-7bfb-49bc-8ca2-667f6c3347a7;Alexandra Conunova;Alexandra Conunova;Importbereit;Mittel bis hoch;Alexandra Conunova (* 1988) ist eine Persönlichkeit des Musiklebens mit Bezug zu Moldau. Zu den dokumentierten Tätigkeitsfeldern gehören Violine. Die verknüpften Münchner Programmdaten nennen Alexandra Conunova für solistische Mitwirkung bei „Alexandra Conunova & die Stuttgarter Philharmoniker“.;MusicBrainz: violinist;https://musicbrainz.org/artist/bf5e349d-d6a2-4860-aa14-61f173947114;MusicBrainz;1;0;biography_de per UUID aktualisieren;
da5878ba-9d1a-44ba-b613-502ddb7dbd90;Alfred Schnittke;Alfred Schnittke;Importbereit;Hoch;Alfred Schnittke (1934–1998) war eine Persönlichkeit des Musiklebens mit Bezug zu Sowjetunion. Zu den dokumentierten Tätigkeitsfeldern gehören Komposition, Klavier und Musikpädagogik.;Wikidata + deutsche Wikipedia;https://de.wikipedia.org/wiki/Alfred_Schnittke;Wikidata + deutsche Wikipedia;0;0;biography_de per UUID aktualisieren;
910c4f53-92ba-4b2a-8087-8526c79a02ba;Alice Marie Weber;Alice Marie Weber;Importbereit;Hoch;Alice Marie Weber ist Bratschistin im Symphonieorchester des Bayerischen Rundfunks, dem sie seit 2015 angehört. Sie begann ihre Ausbildung als Jungstudentin für Violine am Richard-Strauss-Konservatorium in München und wechselte während des Studiums an der Hochschule für Musik und Theater München zur Viola. Weitere Studien führten sie zu Kim Kashkashian an das New England Conservatory in Boston. Orchestererfahrung sammelte sie unter anderem im Koninklijk Concertgebouworkest und als Solo-Bratschistin des Gustav Mahler Jugendorchesters.;Symphonieorchester des Bayerischen Rundfunks;https://www.brso.de/besetzung/alice-marie-weber/;Offizielle Orchesterwebsite;0;0;biography_de per UUID aktualisieren;
5223d27b-d10b-4272-a601-6d3f81b77504;Allan Clayton;Allan Clayton;Prüfung empfohlen;Hoch;Allan Clayton (* 1985) ist eine Persönlichkeit des Musiklebens mit Bezug zu Vereinigtes Königreich. Zu den dokumentierten Tätigkeitsfeldern gehören Gesang und Tenor.;Wikidata + englische Wikipedia;https://en.wikipedia.org/wiki/Allan_Clayton;Wikidata + englische Wikipedia;0;0;Identität/Text prüfen, dann biography_de aktualisieren;"Kurze strukturierte Biografie; vor Import redaktionell auf Vollständigkeit prüfen."
45f8588b-176a-471d-9f6e-d31f234cc59a;Amartuvshin Enkhbat;Amartuvshin Enkhbat;Importbereit;Hoch;Amartuvshin Enkhbat (* 1986) ist eine Persönlichkeit des Musiklebens mit Bezug zu Mongolei. Zu den dokumentierten Tätigkeitsfeldern gehören Gesang. Als Instrument beziehungsweise stimmlicher Schwerpunkt ist Singstimme verzeichnet.;Wikidata + englische Wikipedia;https://en.wikipedia.org/wiki/Enkhbatyn_Amart%C3%BCvshin;Wikidata + englische Wikipedia;0;0;biography_de per UUID aktualisieren;
117ed9b9-076f-4844-bc2e-2b752f0a878f;Amy Beach;Amy Beach;Importbereit;Hoch;Amy Beach (1867–1944) war eine Persönlichkeit des Musiklebens mit Bezug zu Vereinigte Staaten. Zu den dokumentierten Tätigkeitsfeldern gehören Klavier und Komposition. Die verknüpften Münchner Programmdaten nennen Amy Beach für Komposition bei „Münchner Philharmoniker: Dvořák Chopin Beach“ und „Münchner Philharmoniker: 4th Youth Concert“.;Wikidata + deutsche Wikipedia;https://de.wikipedia.org/wiki/Amy_Beach;Wikidata + deutsche Wikipedia;3;0;biography_de per UUID aktualisieren;
de42e4db-0e88-44d3-9cd4-9cf13cc8ff33;Andrea Battistoni;Andrea Battistoni;Prüfung empfohlen;Hoch;Andrea Battistoni (* 1987) ist eine Persönlichkeit des Musiklebens mit Bezug zu Italien. Zu den dokumentierten Tätigkeitsfeldern gehören Dirigieren und Violoncello.;Wikidata + deutsche Wikipedia;https://de.wikipedia.org/wiki/Andrea_Battistoni;Wikidata + deutsche Wikipedia;0;0;Identität/Text prüfen, dann biography_de aktualisieren;"Kurze strukturierte Biografie; vor Import redaktionell auf Vollständigkeit prüfen."
fc43116f-2b47-427d-a9bd-a669a64fe0dc;Andrea Eun-Jeong Kim;Andrea Eun-Jeong Kim;Importbereit;Hoch;Andrea Eun-Jeong Kim ist Violinistin im Symphonieorchester des Bayerischen Rundfunks. Sie studierte bei Michael Gaiser, Thomas Brandis und Gerhard Schulz und wurde bei mehreren Wettbewerben ausgezeichnet. Einen Schwerpunkt ihrer künstlerischen Arbeit bildet die Kammermusik: Sie gründete das Amici Ensemble, das Heinrich Heine Trio und ein Duo mit dem Gitarristen Peter Ernst. Darüber hinaus entwickelt sie musik-literarische Programme mit Schauspielern.;Symphonieorchester des Bayerischen Rundfunks;https://www.brso.de/en/cast/andrea-eun-jeong-kim/;Offizielle Orchesterwebsite;0;0;biography_de per UUID aktualisieren;
46f2dc7c-6157-4ff6-b9cc-4737d4277387;Andreas Begert;Andreas Begert;Prüfung empfohlen;Hoch;Andreas Begert (* 1990) ist eine Persönlichkeit des Kulturlebens mit Bezug zu Deutschland. Zu den dokumentierten Tätigkeitsfeldern gehören Komposition und Literatur.;Wikidata + deutsche Wikipedia;https://de.wikipedia.org/wiki/Andreas_Begert;Wikidata + deutsche Wikipedia;0;0;Identität/Text prüfen, dann biography_de aktualisieren;"Kurze strukturierte Biografie; vor Import redaktionell auf Vollständigkeit prüfen."
8997617e-8b1f-45b0-8de2-34ab861be161;Andreas Kammenos;Andreas Kammenos;Prüfung empfohlen;Mittel;Die verknüpften Münchner Programmdaten nennen Andreas Kammenos bei „Musik zur Nacht in der Kreuzkapelle“.;Verknüpfte Veranstaltungsseite;https://www.st-michael-muenchen.de/termine/termin-detail?tx_calendarize_calendar%5Baction%5D=detail&tx_calendarize_calendar%5Bcontroller%5D=Calendar&tx_calendarize_calendar%5Bindex%5D=81445&cHash=032d3d8e4fe689286e22084449130a35;Projektquelle/Veranstaltung;1;0;Identität/Text prüfen, dann biography_de aktualisieren;"Kurze strukturierte Biografie; vor Import redaktionell auf Vollständigkeit prüfen."
e825c827-91ed-4e16-ae53-628a44c9b5e6;Andreas Ottensamer;Andreas Ottensamer;Importbereit;Hoch;Andreas Ottensamer (* 1989) ist eine Persönlichkeit des Musiklebens mit Bezug zu Österreich. Zu den dokumentierten Tätigkeitsfeldern gehören Klarinette, Dirigieren, Klavier und Violoncello. Die verknüpften Münchner Programmdaten nennen Andreas Ottensamer für solistische Mitwirkung bei „Kian Soltani, Andreas Ottensamer & das Münchener Kammerorchester“ und „Andreas Ottensamer & das Concertgebouw Chamber Orchestra Amsterdam“.;Wikidata + deutsche Wikipedia;https://de.wikipedia.org/wiki/Andreas_Ottensamer;Wikidata + deutsche Wikipedia;2;0;biography_de per UUID aktualisieren;
8a152ecf-f8d6-4077-9536-4c7809d0f1b2;Angela Metzger;Angela Metzger;Importbereit;Hoch;Angela Metzger (* 1986) ist eine Persönlichkeit des Musiklebens mit Bezug zu Deutschland. Zu den dokumentierten Tätigkeitsfeldern gehören Orgel. Die verknüpften Münchner Programmdaten nennen Angela Metzger für solistische Mitwirkung bei „Orgelkonzert mit Angela Metzger“.;Wikidata + deutsche Wikipedia;https://de.wikipedia.org/wiki/Angela_Metzger;Wikidata + deutsche Wikipedia;1;0;biography_de per UUID aktualisieren;
